Price,Close,High,Low,Open,Volume
Ticker,KLBF.JK,KLBF.JK,KLBF.JK,KLBF.JK,KLBF.JK
Date,,,,,
2019-01-01,1353.745849609375,1353.745849609375,1353.745849609375,1353.745849609375,0
2019-01-02,1358.198974609375,1362.6520860015369,1335.9334176485656,1358.198974609375,5035800
2019-01-03,1371.5582275390625,1376.0113386674361,1340.3864496404474,1367.1051164106889,15603900
2019-01-04,1398.2769775390625,1402.730088932499,1353.7458636046974,1367.105197785007,19765600
2019-01-07,1420.54248046875,1433.9018141408699,1407.1831467966301,1407.1831467966301,28281300
2019-01-08,1393.823974609375,1420.5426450491714,1371.5584159095447,1420.5426450491714,16847400
2019-01-09,1371.5582275390625,1416.0893388227983,1371.5582275390625,1411.6362276944249,9920400
2019-01-10,1424.99560546875,1424.99560546875,1376.0113815307618,1380.4644927978516,32039200
2019-01-11,1442.80810546875,1451.714328342014,1389.3707682291667,1433.901882595486,25318000
2019-01-14,1438.35498046875,1447.2612032580303,1420.5425348901897,1429.4487576794697,25662800
2019-01-15,1456.1673583984375,1456.1673583984375,1433.9018024596235,1438.3549136473864,14905500
2019-01-16,1447.26123046875,1451.7143419471154,1424.9956730769231,1447.26123046875,20240700
2019-01-17,1433.90185546875,1451.7143008782996,1420.5425214115876,1451.7143008782996,18529300
2019-01-18,1438.35498046875,1447.2612032580303,1416.0894234955495,1447.2612032580303,18565100
2019-01-21,1429.44873046875,1442.8080643983644,1429.44873046875,1442.8080643983644,8777600
2019-01-22,1438.35498046875,1438.35498046875,1420.5425348901897,1438.35498046875,16694600
2019-01-23,1424.99560546875,1433.9018280029297,1420.5424942016602,1420.5424942016602,13179200
2019-01-24,1424.99560546875,1438.3549392700195,1424.99560546875,1438.3549392700195,16844100
2019-01-25,1438.35498046875,1442.80809186339,1420.5425348901897,1433.90186907411,22451600
2019-01-28,1433.90185546875,1447.2611895259122,1420.5425214115876,1438.3549668211374,34907300
2019-01-29,1433.90185546875,1433.90185546875,1420.5425214115876,1433.90185546875,13322900
2019-01-30,1433.90185546875,1433.90185546875,1420.5425214115876,1420.5425214115876,23609500
2019-01-31,1424.99560546875,1438.3549392700195,1424.99560546875,1438.3549392700195,36542300
2019-02-01,1438.35498046875,1438.35498046875,1420.5425348901897,1424.9956462848297,25854900
2019-02-04,1429.44873046875,1438.354953088493,1424.9956191588785,1429.44873046875,25455800
2019-02-05,1429.44873046875,1429.44873046875,1429.44873046875,1429.44873046875,0
2019-02-06,1420.54248046875,1433.9018141408699,1416.08936924471,1424.99559169279,33819200
2019-02-07,1433.90185546875,1433.90185546875,1424.9956327639752,1424.9956327639752,24717700
2019-02-08,1420.54248046875,1424.99559169279,1416.08936924471,1424.99559169279,12267000
